issue | commit | idx | status | final | first crash | time to find first crash
5138 | 70e275e | 5 | none | D | baselines/waflgo_jerryscript_70e275e_1/queue/id:000030,6726,src:000003,op:flip1,pos:3,+cov | 
5138 | 70e275e | 5 | none | D | baselines/waflgo_jerryscript_70e275e_2/queue/id:000030,6733,src:000003,op:flip1,pos:3,+cov | 
5138 | 70e275e | 5 | none | D | baselines/waflgo_jerryscript_70e275e_3/queue/id:000031,6825,src:000003,op:flip1,pos:3,+cov | 
5138 | 70e275e | 5 | none | D | baselines/waflgo_jerryscript_70e275e_4/queue/id:000030,6686,src:000003,op:flip1,pos:3,+cov | 
5138 | 70e275e | 5 | none | D | baselines/waflgo_jerryscript_70e275e_5/queue/id:000031,6801,src:000003,op:flip1,pos:3,+cov | 
5117 | 53b61c1 | 5 | bug_^SEGV | B | baselines/waflgo_jerryscript_53b61c1_1/queue/id:000528,393322,src:000147,op:havoc,rep:16,is_suf_target | 393322
5117 | 53b61c1 | 5 | none | D | baselines/waflgo_jerryscript_53b61c1_2/queue/id:000555,402281,src:000259,op:havoc,rep:2,+cov | 
5117 | 53b61c1 | 5 | bug_^SEGV | B | baselines/waflgo_jerryscript_53b61c1_3/queue/id:000513,380707,src:000191,op:havoc,rep:8,+cov | 380707
5117 | 53b61c1 | 5 | bug_^SEGV | B | baselines/waflgo_jerryscript_53b61c1_4/queue/id:001037,1863041,src:000893,op:havoc,rep:16,is_suf_target | 1863041
5117 | 53b61c1 | 5 | bug_^SEGV | B | baselines/waflgo_jerryscript_53b61c1_5/queue/id:000565,494126,src:000276,op:havoc,rep:16,+cov | 494126
5153 | 70e275e | 5 | none | D | baselines/waflgo_jerryscript_70e275e_1/queue/id:000030,6726,src:000003,op:flip1,pos:3,+cov | 
5153 | 70e275e | 5 | none | D | baselines/waflgo_jerryscript_70e275e_2/queue/id:000030,6733,src:000003,op:flip1,pos:3,+cov | 
5153 | 70e275e | 5 | none | D | baselines/waflgo_jerryscript_70e275e_3/queue/id:000031,6825,src:000003,op:flip1,pos:3,+cov | 
5153 | 70e275e | 5 | none | D | baselines/waflgo_jerryscript_70e275e_4/queue/id:000030,6686,src:000003,op:flip1,pos:3,+cov | 
5153 | 70e275e | 5 | none | D | baselines/waflgo_jerryscript_70e275e_5/queue/id:000031,6801,src:000003,op:flip1,pos:3,+cov | 
